,Outside,Agriculture,Forest,Industry,Nature,Recreation,Urban-formal,Urban-informal,Urban-villages,Transportation,Airport and Harbour,Water,q,max_d
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,-2.6989700043360187,0.0073209529227445565,0.5667909123815917,0.6682927104482209,0.06744284277638066,0.0,0.0,0.0,-0.7281583934635011,-3.0,1.0,0.0
2,0.0,-0.40230481407448765,0.0,-0.22475374025976358,0.5530330162024399,-0.04866248120408232,-0.5702477199975919,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,0.0,0.21031851982623187,-1.2218487496163564,0.0,0.014520538757923713,-0.8041003475907662,0.6280822609906794,0.0,0.0,0.0,0.1863912156954932,-1.3187587626244128,3.0,0.0
4,0.0,0.4640422054388108,-2.6989700043360187,0.07298474462793039,0.0,-0.11182050608167508,0.14457420760961637,-0.5482135644757098,0.0,0.0,-0.9469215565165803,0.0,4.0,0.0
5,0.0,0.4959603948817052,0.0,0.2999429000227671,0.0,0.0,-1.275724130399211,0.0,0.0,0.0,0.0,0.0,5.0,0.0
6,0.0,0.2681097298084783,0.0,0.7276225779691373,0.1195857749617838,-0.41680122603137726,0.0,0.0,0.0,0.0,0.4655315569735497,0.0,6.0,0.0
7,0.0,0.20682587603184974,0.0,0.9385697562210611,0.10209052551183669,-0.4762535331884355,-1.275724130399211,0.0,0.0,0.0,0.5137501500818236,-1.2596373105057561,7.0,0.0
8,0.0,0.0,-0.5528419686577808,0.7842605825660838,0.0,0.0,0.7772817916710147,0.0,0.0,1.4197245035618191,0.0,-0.2479515521805615,8.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
10,0.0,-0.34198860334288755,0.0,0.0,0.0,0.0,1.0478976235144106,0.0,0.0,0.0,0.0,0.0,10.0,0.0
11,0.0,0.0,0.0,1.6826323684236828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.0,-0.4584207560534191,-1.5228787452803376,-0.04866248120408232,0.4893959217271294,0.5352941200427705,-0.07572071393811836,-0.5157001606532142,0.18155777386278632,-0.05700040663395948,-0.6655462488490691,-0.9913998282380825,1.0,1.0
14,0.0,-0.41005039867429227,-0.3233063903751334,-0.266000713461613,0.5246557123577771,-0.05898575629443027,-0.5985994592184559,-0.7931741239681502,-0.5734887386354247,-0.5575202309355514,0.0,-1.3665315444204136,2.0,1.0
15,0.0,0.17318626841227402,-1.2518119729937995,0.3242824552976926,-0.012780770091995148,-0.4056074496245733,0.4999618655961902,0.2920344359947364,-0.21467016498923297,0.36567514045591776,0.2127201544178423,-1.0268721464003014,3.0,1.0
16,0.0,0.3960248966085932,-1.337242168318426,0.03019478535675124,-0.563837352959244,-0.32605800136591223,0.0318122713303704,-0.23732143627256383,0.04688519083771014,0.010299956639811961,-1.0705810742857071,-0.7166987712964504,4.0,1.0
17,0.0,0.3873898263387294,-1.3767507096020994,0.22375545365724117,-1.0655015487564323,0.985650973690949,-0.8386319977650252,0.0,0.04296907339318013,-0.438898616350944,0.0,-0.5030703519267851,5.0,1.0
18,0.0,0.19534605834841964,-1.9208187539523751,0.5962671263955154,0.04296907339318013,0.13987908640123647,0.06669855042299526,0.01577875638904093,0.12839926871780646,0.42942926438178763,0.32510498297140744,-1.0,6.0,1.0
19,0.0,0.15806079393660522,-1.3979400086720375,0.850033257689769,0.04493154614916006,-0.265200170411153,-0.04527520902093701,0.5852350633657754,-0.9746941347352298,0.3386556655787003,0.43023635341151045,-1.0555173278498313,7.0,1.0
20,0.0,0.031004281363536827,-0.6439741428068773,0.744762237065578,-0.35556141053216145,-0.8124792791635369,0.5912872650584993,-0.28567024025476695,0.9459607035775686,0.3830969299490942,0.0,-0.9030899869919435,8.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
22,0.0,-0.4596705252091263,-1.1804560644581312,0.0,-0.1938200260161128,-0.11013827874181155,0.847634344318255,0.7189166860148611,0.0,0.2629254693318316,1.7235377615320568,-0.37059040089728107,10.0,1.0
23,0.0,-0.38721614328026455,0.0,1.528929549036754,-0.826813731587726,-0.44611697335612566,0.13798673272353165,0.08206693428511301,-0.7099653886374819,0.13129779659762297,0.021189299069938092,-1.0506099933550872,11.0,1.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25,0.0,-0.27572413039921095,-1.136677139879544,-0.07987667370927608,0.45331834004703764,0.45666962942375755,-0.14691047014813446,-0.4698003017969178,0.22271647114758325,-0.02090709936167361,-0.645891560852599,-0.8632794328435932,1.0,2.0
26,0.0,-0.36957212497497616,-0.13253251214094852,-0.24565166428898116,0.5013331786455663,-0.054531414868180264,-0.583359492661719,-0.619788758288394,-0.384049948343599,-0.46344155742846993,0.0,-1.2291479883578558,2.0,2.0
27,0.0,0.16405529189345164,-1.1804560644581312,0.4144719496293027,-0.017276612331454656,-0.29157909986528724,0.4613484336479829,0.39164070349238783,-0.02548830726267165,0.3573630306151428,0.19368102954128152,-0.9208187539523752,3.0,2.0
