theta_cp,Metric_1,Metric_2,Metric_3
0.0,0.6032479286052235,0.040228436503603054,0.08956377337528457
0.01,0.6012220423217824,0.03731015340497301,0.0870828111289186
0.02,0.5995289642591052,0.035639495091716614,0.08513240299562759
0.030000000000000006,0.5975611518933812,0.03274472675123542,0.08316129122969225
0.04,0.5963058618258027,0.03121800827965993,0.0798613573651996
0.05,0.595419117774506,0.03239886277662579,0.0737893727312143
0.06000000000000001,0.593127431636898,0.03601605701937236,0.06345622794602608
0.07,0.586455631936084,0.04382820821168345,0.048369505872569926
0.08,0.569261285067364,0.04490810729165451,0.03446406748154967
0.09,0.5497573831632767,0.04342858851146918,0.027288059844044307
0.1,0.5338272608110151,0.0433429061841493,0.024648869620661314
