theta_ct,Metric_1,Metric_2,Metric_3
0.0,0.595048338146004,0.03554220626726054,0.11279917815070228
0.001,0.5953208388368307,0.035679807440684136,0.11244280445884153
0.002,0.5957385243219503,0.03589762937085004,0.11196373334424439
0.003,0.5961316400726512,0.03614018323815644,0.11152635021724888
0.004,0.5966118666999276,0.03611818761450135,0.11056607873710901
0.005,0.5974896763023447,0.03702466210552119,0.10961782678831346
0.006,0.5980949852139351,0.03758467173980055,0.10850485333348325
0.007000000000000001,0.5989638603674727,0.038779667316846955,0.10725031092653248
0.008,0.5995066281369062,0.03925759134476047,0.10591698817459919
0.009,0.6002124495983918,0.040073939751256483,0.1042795391689002
0.01,0.6005921636757732,0.04013405971720682,0.10258034116890903
0.011,0.6008356274077413,0.039992363897044955,0.10099905088054917
0.012,0.6008244593466419,0.03939850179361801,0.09916702884574646
0.013000000000000001,0.6011460995063063,0.039656807341308935,0.09735917153451427
0.014000000000000002,0.6011215297718873,0.039408435332299874,0.09541479387488964
0.015,0.6008445618566208,0.03846261443810057,0.09366451794511475
0.016,0.600391138575983,0.03732490846897991,0.09159831122270036
0.017,0.6003755032904438,0.037282093242357685,0.08966871513054907
0.018,0.6001141706607166,0.03686249157868368,0.08760437105326752
0.019,0.5991090451617658,0.035181777728427115,0.08590598385939732
0.02,0.5986310521467091,0.03442148013064784,0.08418057555915483
