theta_it,Metric_1,Metric_2,Metric_3
0.0,0.5808403308152783,0.04412622607132607,0.11506620043074159
0.005,0.5823636543492438,0.04628340395142549,0.1090777027406522
0.01,0.5835273663158069,0.04753179036542254,0.10240067993080049
0.015000000000000003,0.5849836814831757,0.04970464786970849,0.0950110835142377
0.02,0.5865204066904608,0.051639479052089696,0.08771184898206141
0.025,0.5877064547792227,0.05274128453301123,0.07896745817884199
0.030000000000000006,0.5894040000663398,0.05399562518139417,0.06902803034608128
0.035,0.5914834930430584,0.055661758357447716,0.05974857408595713
0.04,0.5930961610658194,0.056367045162200105,0.049888576628677975
0.045,0.5945949148653663,0.05657849932509183,0.038156654017751826
0.05,0.595769794893029,0.05625099505080834,0.03126155286640439
0.05500000000000001,0.5967749203919797,0.05532435945105417,0.03708390739667689
0.06000000000000001,0.5978827920530456,0.055368978119824844,0.042766393466843106
0.065,0.5986377529833687,0.05523947781668086,0.04842220414831503
0.07,0.5991581846306032,0.0559443115146628,0.05529290758656339
0.075,0.5990867090395668,0.055895985771468745,0.06266628431386996
0.08,0.5984612976179973,0.05534413663728267,0.07144433442524183
0.085,0.5980994524383749,0.055949580039925936,0.07943420855984729
0.09,0.5973511923447115,0.05615168915938769,0.0866254926478202
0.095,0.5964130752123574,0.05672638541015905,0.09323836907253719
0.1,0.5951309817981401,0.05714063842262744,0.09905079129219202
