theta_cp,Metric_1,Metric_2,Metric_3
0.0,0.64435276940258,-0.009103031041582284,0.0853039460761583
0.0025,0.6423861651919018,-0.010746678032009191,0.08435715119789056
0.005,0.6401567429069857,-0.01215586813198494,0.08323848657501016
0.0075000000000000015,0.6375987980292719,-0.013776455975206253,0.08167117037307511
0.01,0.6348414739228259,-0.015516892222466576,0.0799869504283437
0.0125,0.6317646899157972,-0.017156489448305473,0.077978846425991
0.015000000000000003,0.628703765620145,-0.017908618450562595,0.07548422064108086
0.0175,0.6250968141185327,-0.01897437763176243,0.0724174720341344
0.02,0.621188528100768,-0.019840879228265065,0.06866320649024374
0.0225,0.617375400351262,-0.019959440734133152,0.06461678124308223
0.025,0.6129913229922043,-0.02040097615384741,0.06015666977916226
0.027500000000000004,0.6085528694798559,-0.020088744110620938,0.05537237502081917
0.030000000000000006,0.6039354277962593,-0.02036648084978114,0.05092334503359188
0.0325,0.5994629891881043,-0.019526169835586155,0.0463856519152462
0.035,0.5942451441452568,-0.020163015943805512,0.04166228387112486
0.0375,0.589049955832947,-0.021087261356859347,0.037233891144722836
0.04,0.5841787587673273,-0.021249662411106648,0.03327824107122161
0.0425,0.579071931704115,-0.02203477390432069,0.02971571369694523
0.045,0.5744794124241097,-0.021943533290574364,0.02802593144628912
0.0475,0.5699412692973951,-0.022280775083884954,0.030811417154686896
0.05,0.5657724308784462,-0.021936679483173363,0.033278020482978565
