theta_cp,Metric_1,Metric_2,Metric_3
0.0,0.6094305672298814,0.051752569373460934,0.07184163874357183
0.0025,0.6098527199394408,0.05303775113797346,0.0694491011438306
0.005,0.6096092562074727,0.05329762585483765,0.06646971773451779
0.0075000000000000015,0.609133496804636,0.05340504285374132,0.06281846155059381
0.01,0.6082668552633181,0.052932721748427246,0.05870510816453834
0.0125,0.607389045660901,0.053435947190526606,0.05392245319172946
0.015000000000000003,0.6057428734548416,0.05301656936205088,0.04890823755137115
0.0175,0.6042307179819755,0.05396082101686441,0.04377711592624823
0.02,0.6015347480325671,0.05379568308232355,0.03899365863369687
0.0225,0.5988544133686982,0.0548025983734897,0.03501273620564821
0.025,0.595769794893029,0.05625099505080834,0.03126155286640439
0.027500000000000004,0.5917850306927435,0.056708573866594905,0.031191014570541686
0.030000000000000006,0.5872843020696634,0.056445734517038576,0.0354849998035311
0.0325,0.582602650856772,0.05609328949688851,0.03979070837614882
0.035,0.5771280673058196,0.05430323727238172,0.04325653780882314
0.0375,0.5720376650566883,0.053335748409372635,0.04697349256814871
0.04,0.5669517300319968,0.05219723146224229,0.05002258227251168
0.0425,0.5618010202529282,0.05138260127904354,0.053306254865973096
0.045,0.5567552902481948,0.05075174118349761,0.055449114264789226
0.0475,0.551287407533902,0.04845016393542192,0.05728921147581673
0.05,0.5455715938632013,0.045465236633302666,0.05887934854499041
