theta_cp,Metric_1,Metric_2,Metric_3
0.0,0.5959618855439395,0.0329959440777952,0.11232375342700306
0.0025,0.5964376449467761,0.03492365116255224,0.11215736205607688
0.005,0.5966811086787442,0.03574578697012022,0.11200373036148725
0.0075000000000000015,0.5966118666999277,0.03578120495310579,0.11181953846864266
0.01,0.5968195926363775,0.03621121998689625,0.11171597953502949
0.0125,0.5969714782673301,0.036531552895517246,0.11139301842794581
0.015000000000000003,0.5968799001663146,0.03629469417574879,0.1111003145094226
0.0175,0.5970697572050053,0.036599569219274146,0.11076590602703831
0.02,0.5972305772848374,0.036764607005796784,0.1104151746994574
0.0225,0.5974003318135491,0.037068814906525,0.11005557888482498
0.025,0.5974896763023447,0.03702466210552119,0.10961782678831346
0.027500000000000004,0.5973668276302508,0.036684864298712816,0.10923794457232275
0.030000000000000006,0.5978202509108886,0.037543323452132724,0.10872487361907454
0.0325,0.5978023820131295,0.037428620419298675,0.1082367802139333
0.035,0.5979430995829826,0.03776499324356261,0.1076545670684681
0.0375,0.59799893988848,0.03771606795227682,0.10721355197365807
0.04,0.5979095953996842,0.037505505242528846,0.1067567649769854
0.0425,0.5980413785206578,0.037996681638785966,0.10630201104549877
0.045,0.5981887969271706,0.0384317445051624,0.10573813638419555
0.0475,0.5983406825581232,0.03909487723885092,0.10524849252080978
0.05,0.5978716239919462,0.03810766923803915,0.10480902011124954
